23.07.2018 17:27:18	Minecraft	Zeitloses Design. Einfache Steuerung. Lebt von der Kreativität des Spielers, welche nicht altern kann.	Tetris	Simpilste Steuerung und Grafik. Macht jedem Spaß.						
23.07.2018 17:32:52	Gothic 2	Damals überragenes WorldBuilding	Portal		Minecraft		Pokemon GenII		Dragon Quest 5	
23.07.2018 17:36:08	Portal	Neuartige Mechanik, kultureller Einfluss	Crysis	Neue grafische/technische Maßstäbe; kein anderes Spiel war jemals seiner Zeit so weit voraus	World of Warcraft	Erfolgreichstes und wohl prägendstes Spiel des MMORPG Genres				
23.07.2018 17:40:53	Star Wars Dark Forces 2: Jedi Knight 	Super Story, gute Grafik, Videosequenzen mit echten Schauspielern, erstmals Lichtschwert in Ego Perspektive 	Doom	Einer der ersten Ego Shooter, riesen Fortschritt im Vergleich zu Vorgänger (wie Wolfenstein 3D), interessante Entwicklungsgeschichte 	Doodle Jump	Erstmals großes Gaming auf Smartphones	Tetris 	Easy to play - Hard To Master, 	Age Of Empires II	
23.07.2018 17:42:07	Portal 2	Die Art wie das Spiel sein Tutorial bewusst versteckt ist bisher unangefochten für Puzzlespiele. Zudem ist gerade für das Genre die Spielmechanik einzigartig und das Spiel sehr polished								
23.07.2018 17:53:19	Super Mario 64	Begündete einige heute gängige 3D-Mechaniken.	Cave Story	Zeigt, dass ein einziger Indiedev auch geile Spiele entwickeln kann.						
23.07.2018 17:59:42	Tetris	Weil es ein Klassiker der Videospielgeschichte ist und auch Einfluss in unter anderem die Wissenschaft hatte. Ebenso wurden viele positive Effekte während den Untersuchungen entdeckt. Daher kann es nicht schlecht sein Tetris einmal in seinem Leben gespielt zu haben. Ebenso werden noch immer neue Tetris-Spiele veröffentlicht, welche auch immer mehr kompetitiv gespielt werden. Es gibt sogar Turniere, die noch heutzutage nicht allzu klein ausfallen. Ein Interesse ist daher immer noch gegeben und wird meiner Meinung nach nicht so schnell erlöschen.	Super Mario 64	Der erste 3D-Teil der Mario-Reihe ist für mich bis zum heutigen Tag immer noch der beste. Okay, die Kamera ist nicht unbedingt das Gelbe vom Ei, dafür ist aber die restliche Steuerung umso besser. Noch nie hatte ich das Gefühl einer so großen Kontrolle über meinen Charakter. Ebenso wurden die verschiedenen Level sehr gut durchdacht und machen auch nach dem hundertsten Mal durchspielen immer noch Spaß. Allein der Fakt, dass es heutzutage noch viele Anhänger gibt, ist ein Beweis dafür, dass dieses Spiel auch in 100 Jahren noch einen großen Einfluss auf die Videospielgeschichte haben wird. Ebenso die Hacker-Szene (ROM-Hacks) halten dieses Spiel schon seit einigen Jahren am Leben.	Clannad	Ein japanisches Visual Novel. Erst vor kurzem bekam dieses Spiel den internationalen Release, dennoch wurde dieses erstmals im Jahre 2004 in Japan veröffentlicht. Klar nicht jeder mag das Visual Novel Genre, dennoch finde ich, dass Clannad ein sehr gutes Beispiel dafür ist, wie sehr ein paar Bilder und ein bisschen Text auf die Gefühlsdrüse drücken können. Noch nie zuvor habe ich etwas so emotionales gesehen, wie diesen Visual Novel. Es macht einfach eine gute Arbeit in der Charakterisierung eines jeden einzelnen und bringt den Spieler dazu, sich mit den Charakteren anzufreunden. Deshalb sind die sonst schon so emotionalen Momente gleich noch umso stärker, als sie ohnehin schon sind. Somit schließe ich aus Clannad ein sehr gut gelungenen Visual Novel, der auch definitiv zum Nachdenken anregen kann. Und keine Sorge, sollte man beginnen in Tränen auszubrechen, so ist dies ganz normal.	Touhou - The Embodiment of Scarlet Devil	Ein wahrer Klassiker, wenn es um das Genre der Bullet-Hells geht. Touhou ist schon seit vielen Jahren vertreten, doch ein Spiel aus der Serie hat sich besonders als Klassiker der Reihe hervorgetan. Das sechste Spiel der Reihe, und somit auch das erste, welches auf einem Windows PC verfügbar war, machte viele auf die Reihe aufmerksam. Durch den Release auf Windows PCs wurden somit nämlich auch viele Personen außerhalb Japans auf dieses Spiel aufmerksam. Dieses Spiel brachte also Touhou auf ein internationales Level und dort befindet sich die Serie immer noch. Die Community hinter Touhou ist eine riesige und leidenschaftliche. Daher wird diese Serie in meinen Augen noch für einige Jahre relevant bleiben.		
23.07.2018 18:05:01	The Legend of Zelda - A Link to the Past	Perfektion des Top-Down Action Adventures. Heute noch Vorbild für sehr viele 2D Spiele. So gut wie kein Spiel lässt mich auf seltsame Art und Weise "wohler" fühlen. Es ist schwer in Worte zu fassen.	Ultima Online	Nicht weil es eines der ersten MMORPGs ist, sondern womöglich das mit den meisten WIRKLICHEN Freiheiten. Sei ein Fischer, sei ein Koch, sei ein Krieger oder sei ein Schreiner. Bau ein Haus, bau ein Dorf. Zähme Hühner, Hunde, Pferde Drachen. UOs absolute Freiheit ist komplett unangetastet im MMO Bereich.	Kirbys Fun Pak	Ein Spiel, mit vielen kleinen Sub-Spielen, die das Kirby Gameplay komplett ausreizen. Mega viel Umfang, hervorragende Umsetzung eines Ko-Op Modus. Superbes Sprite-Work. Und perfektioniertes Level Design. Dieses Spiel brachte die Kirby Marke ans Maximum und ist dadurch ein Spiel, dass man immer wieder rauskramen und genießen kann.	Wario Ware Touched	Der DS Ableger der Reihe ist womöglich die beste Mini/Microspiel Sammlung, die man je erleben durfte. Witz, Charme, Ideen, Steuerung und vor allem: Content. Wario Ware Touched ist der perfekte Mix aus Wahnsinn und Skill.	Meteos	Sakurai hat nicht nur Smash Bros, Kirby und Kid Icarus Uprising geschaffen sondern auch Meteos. Ganz nach seiner Philosophie "das beste Element herauskristallisieren und darum das Spiel bauen" ist dieses Spiel der wohl coolste Action-Puzzler, den ich je erleben durfte. Ebenfalls mit seiner Signatur von mega vielen Statistiken und Sachen zum freischalten. Scheiß auf Tetris. Meteos ist Tetris auf Crack (und besseren Gameplay)
23.07.2018 18:12:48	Super Mario Galaxy		Portal		Paper Mario: Die Legende vom Äonentor		The Legend of Zelda - A Link to the Past		Super Mario 64	
23.07.2018 18:13:56	Age Of Empires II	Selbst nach fast 20 Jahren überzeugt das Spiel durch gutes Balancing und taktische Vielfalt. Zudem erlaubt es wie kaum ein anderes Spiel im Genre kreative Strategien selbst auf im hohen Spiellevel. Durch Random Maps bis heute abwechslungsreich. 								
